frame_number, top, right, bottom, left, height, width
00103, 109, 707, 227, 589, 118, 118
00104, 109, 707, 227, 589, 118, 118
00105, 109, 707, 227, 589, 118, 118
00106, 109, 707, 227, 589, 118, 118
00107, 109, 707, 227, 589, 118, 118
00108, 109, 707, 227, 589, 118, 118
00109, 109, 707, 227, 589, 118, 118
00110, 109, 707, 227, 589, 118, 118
00111, 109, 707, 227, 589, 118, 118
00112, 106, 707, 248, 566, 142, 141
00113, 106, 707, 248, 566, 142, 141
00114, 109, 695, 227, 577, 118, 118
00115, 109, 695, 227, 577, 118, 118
00116, 106, 693, 248, 552, 142, 141
00117, 109, 683, 227, 565, 118, 118
00118, 109, 683, 227, 565, 118, 118
00119, 121, 671, 239, 553, 118, 118
00120, 109, 659, 227, 541, 118, 118
00121, 121, 659, 239, 541, 118, 118
00122, 121, 636, 239, 518, 118, 118
00123, 106, 664, 248, 523, 142, 141
00124, 120, 650, 262, 509, 142, 141
00125, 106, 650, 248, 509, 142, 141
00126, 120, 636, 262, 494, 142, 142
00127, 120, 621, 262, 480, 142, 141
00128, 120, 621, 262, 480, 142, 141
00130, 106, 607, 248, 466, 142, 141
00131, 106, 607, 248, 466, 142, 141
00132, 120, 607, 262, 466, 142, 141
00156, 92, 621, 233, 480, 141, 141
00157, 106, 607, 248, 466, 142, 141
00158, 121, 600, 239, 482, 118, 118
00159, 92, 621, 233, 480, 141, 141
00160, 92, 621, 233, 480, 141, 141
00161, 121, 612, 239, 494, 118, 118
00162, 120, 621, 262, 480, 142, 141
00163, 120, 636, 262, 494, 142, 142
00164, 120, 650, 262, 509, 142, 141
00165, 120, 650, 262, 509, 142, 141
00166, 106, 650, 248, 509, 142, 141
00167, 121, 647, 239, 530, 118, 117
00168, 109, 659, 227, 541, 118, 118
00169, 109, 659, 227, 541, 118, 118
00170, 109, 659, 227, 541, 118, 118
00171, 121, 671, 239, 553, 118, 118
00172, 109, 671, 227, 553, 118, 118
00173, 109, 671, 227, 553, 118, 118
00174, 109, 671, 227, 553, 118, 118
00175, 109, 671, 227, 553, 118, 118
00176, 109, 671, 227, 553, 118, 118
00177, 109, 671, 227, 553, 118, 118
00178, 97, 671, 215, 553, 118, 118
00179, 97, 671, 215, 553, 118, 118
00180, 97, 671, 215, 553, 118, 118
00181, 97, 671, 215, 553, 118, 118
00182, 97, 671, 215, 553, 118, 118
00183, 109, 683, 227, 565, 118, 118
00184, 109, 683, 227, 565, 118, 118
00185, 109, 683, 227, 565, 118, 118
00186, 109, 683, 227, 565, 118, 118
00187, 109, 683, 227, 565, 118, 118
00188, 109, 683, 227, 565, 118, 118
00189, 109, 683, 227, 565, 118, 118
00190, 109, 683, 227, 565, 118, 118
00191, 109, 683, 227, 565, 118, 118
00192, 109, 683, 227, 565, 118, 118
00193, 92, 693, 233, 552, 141, 141
00194, 92, 693, 233, 552, 141, 141
00195, 92, 693, 233, 552, 141, 141
00196, 92, 693, 233, 552, 141, 141
00197, 92, 679, 233, 537, 141, 142
00198, 109, 683, 227, 565, 118, 118
00199, 109, 683, 227, 565, 118, 118
00200, 109, 683, 227, 565, 118, 118
00201, 109, 683, 227, 565, 118, 118
00202, 97, 683, 215, 565, 118, 118
00203, 109, 695, 227, 577, 118, 118
00204, 109, 695, 227, 577, 118, 118
00205, 109, 695, 227, 577, 118, 118
00206, 109, 695, 227, 577, 118, 118
00207, 109, 695, 227, 577, 118, 118
00208, 92, 707, 233, 566, 141, 141
00209, 92, 707, 233, 566, 141, 141
00210, 92, 707, 233, 566, 141, 141
00211, 92, 707, 233, 566, 141, 141
00212, 92, 707, 233, 566, 141, 141
00213, 92, 693, 233, 552, 141, 141
00214, 92, 693, 233, 552, 141, 141
00215, 92, 693, 233, 552, 141, 141
00216, 109, 683, 227, 565, 118, 118
00217, 109, 683, 227, 565, 118, 118
00218, 109, 683, 227, 565, 118, 118
00219, 109, 683, 227, 565, 118, 118
00220, 109, 683, 227, 565, 118, 118
00221, 109, 683, 227, 565, 118, 118
00222, 109, 683, 227, 565, 118, 118
00223, 109, 683, 227, 565, 118, 118
00224, 109, 683, 227, 565, 118, 118
00225, 109, 683, 227, 565, 118, 118
00226, 109, 683, 227, 565, 118, 118
00227, 92, 693, 233, 552, 141, 141
00228, 92, 707, 233, 566, 141, 141
00229, 92, 707, 233, 566, 141, 141
00230, 92, 707, 233, 566, 141, 141
00231, 92, 707, 233, 566, 141, 141
00232, 92, 707, 233, 566, 141, 141
00233, 92, 707, 233, 566, 141, 141
00234, 92, 707, 233, 566, 141, 141
00235, 109, 695, 227, 577, 118, 118
00236, 109, 707, 227, 589, 118, 118
00237, 109, 707, 227, 589, 118, 118
00238, 109, 707, 227, 589, 118, 118
00239, 109, 707, 227, 589, 118, 118
00240, 109, 707, 227, 589, 118, 118
00241, 109, 707, 227, 589, 118, 118
00242, 97, 695, 215, 577, 118, 118
00243, 92, 707, 233, 566, 141, 141
00244, 109, 695, 227, 577, 118, 118
00245, 109, 695, 227, 577, 118, 118
00246, 92, 722, 233, 580, 141, 142
00247, 92, 722, 233, 580, 141, 142
00248, 92, 722, 233, 580, 141, 142
00249, 77, 707, 219, 566, 142, 141
00250, 92, 707, 233, 566, 141, 141
00251, 92, 707, 233, 566, 141, 141
00252, 106, 722, 248, 580, 142, 142
00253, 106, 722, 248, 580, 142, 142
00254, 106, 722, 248, 580, 142, 142
00255, 92, 722, 233, 580, 141, 142
00256, 92, 722, 233, 580, 141, 142
00257, 92, 722, 233, 580, 141, 142
00258, 92, 722, 233, 580, 141, 142
00259, 92, 722, 233, 580, 141, 142
00260, 92, 722, 233, 580, 141, 142
00261, 92, 722, 233, 580, 141, 142
00262, 92, 722, 233, 580, 141, 142
00263, 92, 722, 233, 580, 141, 142
00264, 92, 722, 233, 580, 141, 142
00265, 92, 722, 233, 580, 141, 142
00266, 92, 722, 233, 580, 141, 142
00267, 92, 722, 233, 580, 141, 142
00268, 92, 722, 233, 580, 141, 142
00269, 92, 722, 233, 580, 141, 142
00270, 106, 722, 248, 580, 142, 142
00271, 77, 707, 219, 566, 142, 141
00272, 106, 722, 248, 580, 142, 142
00273, 77, 707, 219, 566, 142, 141
00274, 77, 707, 219, 566, 142, 141
00275, 77, 707, 219, 566, 142, 141
00276, 92, 693, 233, 552, 141, 141
00277, 92, 693, 233, 552, 141, 141
00278, 92, 693, 233, 552, 141, 141
00279, 92, 693, 233, 552, 141, 141
00280, 92, 693, 233, 552, 141, 141
00281, 92, 693, 233, 552, 141, 141
00282, 92, 707, 233, 566, 141, 141
00283, 92, 707, 233, 566, 141, 141
00284, 77, 707, 219, 566, 142, 141
00285, 77, 707, 219, 566, 142, 141
00286, 106, 722, 248, 580, 142, 142
00287, 106, 722, 248, 580, 142, 142
00288, 92, 722, 233, 580, 141, 142
00289, 92, 707, 233, 566, 141, 141
00290, 92, 707, 233, 566, 141, 141
00291, 109, 707, 227, 589, 118, 118
00292, 121, 695, 239, 577, 118, 118
00293, 121, 695, 239, 577, 118, 118
00294, 121, 695, 239, 577, 118, 118
00295, 121, 695, 239, 577, 118, 118
00296, 109, 707, 227, 589, 118, 118
00297, 109, 707, 227, 589, 118, 118
00298, 106, 707, 248, 566, 142, 141
00299, 106, 707, 248, 566, 142, 141
00300, 106, 722, 248, 580, 142, 142
00301, 92, 707, 233, 566, 141, 141
00302, 92, 707, 233, 566, 141, 141
00303, 92, 707, 233, 566, 141, 141
00304, 92, 707, 233, 566, 141, 141
00305, 92, 707, 233, 566, 141, 141
00306, 92, 707, 233, 566, 141, 141
00307, 92, 693, 233, 552, 141, 141
00308, 92, 693, 233, 552, 141, 141
00309, 92, 693, 233, 552, 141, 141
00310, 106, 693, 248, 552, 142, 141
00311, 121, 683, 239, 565, 118, 118
00312, 92, 679, 233, 537, 141, 142
00313, 106, 679, 248, 537, 142, 142
00314, 106, 679, 248, 537, 142, 142
00315, 106, 679, 248, 537, 142, 142
00316, 120, 664, 262, 523, 142, 141
00317, 121, 659, 239, 541, 118, 118
00318, 121, 659, 239, 541, 118, 118
00319, 109, 659, 227, 541, 118, 118
00320, 109, 659, 227, 541, 118, 118
00321, 92, 664, 233, 523, 141, 141
00322, 92, 664, 233, 523, 141, 141
00323, 92, 664, 233, 523, 141, 141
00324, 92, 664, 233, 523, 141, 141
00325, 109, 647, 227, 530, 118, 117
00326, 106, 650, 248, 509, 142, 141
00327, 109, 647, 227, 530, 118, 117
00328, 97, 647, 215, 530, 118, 117
00329, 97, 647, 215, 530, 118, 117
00330, 97, 647, 215, 530, 118, 117
00331, 97, 647, 215, 530, 118, 117
00332, 85, 647, 203, 530, 118, 117
00333, 85, 647, 203, 530, 118, 117
00334, 109, 659, 227, 541, 118, 118
00335, 92, 664, 233, 523, 141, 141
00336, 92, 664, 233, 523, 141, 141
00337, 92, 664, 233, 523, 141, 141
00338, 92, 664, 233, 523, 141, 141
00339, 92, 664, 233, 523, 141, 141
00340, 92, 664, 233, 523, 141, 141
00341, 109, 659, 227, 541, 118, 118
00342, 109, 659, 227, 541, 118, 118
00343, 109, 659, 227, 541, 118, 118
00344, 92, 664, 233, 523, 141, 141
00345, 92, 664, 233, 523, 141, 141
00346, 92, 664, 233, 523, 141, 141
00347, 92, 664, 233, 523, 141, 141
00348, 109, 659, 227, 541, 118, 118
00349, 92, 664, 233, 523, 141, 141
00350, 92, 664, 233, 523, 141, 141
00351, 92, 664, 233, 523, 141, 141
00352, 92, 664, 233, 523, 141, 141
00353, 92, 664, 233, 523, 141, 141
00354, 92, 664, 233, 523, 141, 141
00355, 92, 664, 233, 523, 141, 141
00356, 92, 664, 233, 523, 141, 141
00357, 92, 664, 233, 523, 141, 141
00358, 92, 664, 233, 523, 141, 141
00359, 77, 664, 219, 523, 142, 141
00360, 77, 664, 219, 523, 142, 141
00361, 109, 659, 227, 541, 118, 118
00362, 109, 659, 227, 541, 118, 118
00363, 121, 659, 239, 541, 118, 118
00364, 121, 659, 239, 541, 118, 118
00365, 133, 659, 251, 541, 118, 118
00367, 145, 659, 263, 541, 118, 118
00369, 157, 659, 275, 541, 118, 118
00370, 135, 664, 276, 523, 141, 141
00389, 135, 636, 276, 494, 141, 142
00391, 145, 624, 263, 506, 118, 118
00392, 145, 636, 263, 518, 118, 118
00393, 145, 636, 263, 518, 118, 118
00395, 133, 636, 251, 518, 118, 118
00396, 133, 636, 251, 518, 118, 118
00397, 133, 636, 251, 518, 118, 118
00398, 121, 636, 239, 518, 118, 118
00399, 106, 650, 248, 509, 142, 141
00400, 106, 650, 248, 509, 142, 141
00401, 121, 647, 239, 530, 118, 117
00402, 109, 647, 227, 530, 118, 117
00403, 109, 647, 227, 530, 118, 117
00404, 109, 647, 227, 530, 118, 117
00405, 92, 664, 233, 523, 141, 141
00406, 109, 659, 227, 541, 118, 118
00407, 109, 647, 227, 530, 118, 117
00408, 109, 647, 227, 530, 118, 117
00409, 109, 647, 227, 530, 118, 117
00410, 109, 659, 227, 541, 118, 118
00411, 92, 679, 233, 537, 141, 142
00412, 92, 664, 233, 523, 141, 141
00413, 92, 679, 233, 537, 141, 142
00414, 92, 679, 233, 537, 141, 142
00415, 77, 679, 219, 537, 142, 142
00416, 92, 679, 233, 537, 141, 142
00417, 77, 679, 219, 537, 142, 142
00418, 77, 679, 219, 537, 142, 142
00419, 77, 679, 219, 537, 142, 142
00420, 77, 679, 219, 537, 142, 142
00421, 97, 683, 215, 565, 118, 118
00422, 97, 683, 215, 565, 118, 118
00423, 97, 683, 215, 565, 118, 118
00424, 77, 693, 219, 552, 142, 141
00425, 92, 693, 233, 552, 141, 141
00426, 92, 679, 233, 537, 141, 142
00427, 109, 671, 227, 553, 118, 118
00428, 106, 693, 248, 552, 142, 141
00429, 106, 693, 248, 552, 142, 141
00430, 120, 693, 262, 552, 142, 141
00431, 120, 693, 262, 552, 142, 141
00432, 145, 671, 263, 553, 118, 118
00433, 157, 671, 275, 553, 118, 118
00434, 157, 671, 275, 553, 118, 118
00435, 169, 671, 287, 553, 118, 118
00436, 181, 671, 299, 553, 118, 118
00437, 193, 671, 311, 553, 118, 118
00438, 205, 671, 322, 553, 117, 118
00439, 216, 671, 334, 553, 118, 118
00440, 206, 679, 348, 537, 142, 142
00441, 228, 671, 346, 553, 118, 118
00442, 221, 679, 362, 537, 141, 142
00443, 221, 679, 362, 537, 141, 142
00444, 240, 659, 358, 541, 118, 118
00445, 240, 659, 358, 541, 118, 118
00446, 221, 679, 362, 537, 141, 142
00447, 228, 671, 346, 553, 118, 118
00448, 228, 671, 346, 553, 118, 118
00449, 216, 671, 334, 553, 118, 118
00450, 205, 671, 322, 553, 117, 118
00451, 181, 683, 299, 565, 118, 118
00452, 163, 693, 305, 552, 142, 141
00453, 169, 683, 287, 565, 118, 118
00455, 145, 695, 263, 577, 118, 118
00456, 133, 695, 251, 577, 118, 118
00457, 106, 707, 248, 566, 142, 141
00458, 121, 695, 239, 577, 118, 118
00459, 106, 707, 248, 566, 142, 141
00460, 92, 707, 233, 566, 141, 141
00461, 92, 707, 233, 566, 141, 141
00462, 92, 707, 233, 566, 141, 141
00463, 92, 707, 233, 566, 141, 141
00464, 77, 707, 219, 566, 142, 141
00465, 77, 693, 219, 552, 142, 141
00466, 92, 693, 233, 552, 141, 141
00467, 92, 693, 233, 552, 141, 141
00468, 92, 693, 233, 552, 141, 141
00469, 92, 679, 233, 537, 141, 142
00470, 109, 671, 227, 553, 118, 118
00471, 109, 671, 227, 553, 118, 118
00472, 92, 679, 233, 537, 141, 142
00473, 92, 679, 233, 537, 141, 142
00474, 92, 679, 233, 537, 141, 142
00475, 92, 679, 233, 537, 141, 142
00476, 92, 679, 233, 537, 141, 142
00477, 109, 659, 227, 541, 118, 118
00478, 77, 664, 219, 523, 142, 141
00479, 77, 664, 219, 523, 142, 141
00480, 77, 664, 219, 523, 142, 141
00481, 77, 664, 219, 523, 142, 141
00482, 77, 664, 219, 523, 142, 141
00483, 77, 664, 219, 523, 142, 141
00484, 106, 664, 248, 523, 142, 141
00485, 106, 664, 248, 523, 142, 141
00486, 121, 659, 239, 541, 118, 118
00487, 109, 659, 227, 541, 118, 118
00488, 121, 659, 239, 541, 118, 118
00489, 106, 679, 248, 537, 142, 142
00490, 106, 679, 248, 537, 142, 142
00491, 106, 679, 248, 537, 142, 142
00492, 133, 671, 251, 553, 118, 118
00493, 133, 671, 251, 553, 118, 118
00494, 133, 683, 251, 565, 118, 118
00495, 133, 683, 251, 565, 118, 118
00496, 133, 683, 251, 565, 118, 118
00497, 120, 707, 262, 566, 142, 141
00498, 120, 693, 262, 552, 142, 141
00499, 106, 707, 248, 566, 142, 141
00500, 133, 707, 251, 589, 118, 118
00501, 120, 707, 262, 566, 142, 141
00502, 121, 707, 239, 589, 118, 118
00503, 121, 719, 239, 601, 118, 118
00504, 106, 736, 248, 595, 142, 141
00505, 106, 736, 248, 595, 142, 141
00506, 92, 736, 233, 595, 141, 141
00507, 120, 736, 262, 595, 142, 141
00508, 106, 750, 248, 609, 142, 141
00509, 106, 750, 248, 609, 142, 141
00510, 106, 750, 248, 609, 142, 141
00511, 92, 750, 233, 609, 141, 141
00512, 92, 750, 233, 609, 141, 141
00513, 92, 750, 233, 609, 141, 141
00514, 106, 765, 248, 623, 142, 142
00515, 106, 765, 248, 623, 142, 142
00516, 106, 765, 248, 623, 142, 142
00517, 106, 765, 248, 623, 142, 142
00518, 120, 765, 262, 623, 142, 142
00519, 106, 765, 248, 623, 142, 142
00520, 106, 765, 248, 623, 142, 142
00521, 106, 765, 248, 623, 142, 142
00522, 106, 765, 248, 623, 142, 142
00523, 106, 765, 248, 623, 142, 142
00524, 106, 779, 248, 638, 142, 141
00525, 106, 779, 248, 638, 142, 141
00526, 120, 765, 262, 623, 142, 142
00527, 120, 765, 262, 623, 142, 142
00528, 120, 765, 262, 623, 142, 142
00529, 120, 765, 262, 623, 142, 142
00530, 120, 779, 262, 638, 142, 141
00531, 120, 779, 262, 638, 142, 141
00532, 120, 779, 262, 638, 142, 141
00533, 120, 779, 262, 638, 142, 141
00534, 120, 779, 262, 638, 142, 141
00535, 106, 779, 248, 638, 142, 141
00536, 106, 779, 248, 638, 142, 141
00537, 106, 779, 248, 638, 142, 141
00538, 106, 779, 248, 638, 142, 141
00539, 106, 779, 248, 638, 142, 141
00540, 106, 779, 248, 638, 142, 141
00541, 106, 779, 248, 638, 142, 141
00542, 120, 779, 262, 638, 142, 141
00543, 106, 779, 248, 638, 142, 141
00544, 106, 765, 248, 623, 142, 142
00545, 106, 765, 248, 623, 142, 142
00546, 106, 765, 248, 623, 142, 142
00547, 106, 765, 248, 623, 142, 142
00548, 106, 765, 248, 623, 142, 142
00549, 106, 765, 248, 623, 142, 142
00550, 106, 765, 248, 623, 142, 142
00551, 106, 765, 248, 623, 142, 142
00552, 106, 765, 248, 623, 142, 142
00553, 106, 765, 248, 623, 142, 142
00554, 106, 765, 248, 623, 142, 142
00555, 106, 765, 248, 623, 142, 142
00556, 106, 750, 248, 609, 142, 141
00557, 106, 750, 248, 609, 142, 141
00558, 106, 750, 248, 609, 142, 141
00559, 121, 743, 239, 625, 118, 118
00560, 121, 743, 239, 625, 118, 118
00561, 106, 765, 248, 623, 142, 142
00562, 106, 765, 248, 623, 142, 142
00563, 106, 765, 248, 623, 142, 142
00564, 106, 765, 248, 623, 142, 142
00565, 106, 765, 248, 623, 142, 142
00566, 120, 765, 262, 623, 142, 142
00567, 120, 765, 262, 623, 142, 142
00568, 120, 765, 262, 623, 142, 142
00569, 92, 750, 233, 609, 141, 141
00570, 92, 750, 233, 609, 141, 141
00571, 92, 750, 233, 609, 141, 141
00572, 120, 765, 262, 623, 142, 142
00573, 120, 765, 262, 623, 142, 142
00574, 120, 765, 262, 623, 142, 142
00575, 92, 750, 233, 609, 141, 141
00576, 109, 743, 227, 625, 118, 118
00577, 121, 743, 239, 625, 118, 118
00578, 109, 743, 227, 625, 118, 118
00579, 121, 743, 239, 625, 118, 118
00580, 109, 743, 227, 625, 118, 118
00581, 109, 743, 227, 625, 118, 118
00582, 121, 743, 239, 625, 118, 118
00583, 121, 743, 239, 625, 118, 118
00584, 92, 750, 233, 609, 141, 141
00585, 106, 750, 248, 609, 142, 141
00586, 106, 750, 248, 609, 142, 141
00587, 121, 731, 239, 613, 118, 118
00588, 133, 731, 251, 613, 118, 118
00589, 106, 736, 248, 595, 142, 141
00590, 120, 736, 262, 595, 142, 141
00591, 133, 719, 251, 601, 118, 118
00592, 135, 722, 276, 580, 141, 142
00593, 145, 707, 263, 589, 118, 118
00594, 120, 707, 262, 566, 142, 141
00595, 135, 707, 276, 566, 141, 141
00596, 133, 695, 251, 577, 118, 118
00597, 120, 707, 262, 566, 142, 141
00598, 120, 707, 262, 566, 142, 141
00599, 133, 695, 251, 577, 118, 118
00600, 121, 695, 239, 577, 118, 118
00601, 106, 707, 248, 566, 142, 141
00602, 109, 695, 227, 577, 118, 118
00603, 92, 707, 233, 566, 141, 141
00604, 109, 695, 227, 577, 118, 118
00605, 109, 695, 227, 577, 118, 118
00606, 109, 695, 227, 577, 118, 118
00607, 109, 695, 227, 577, 118, 118
00608, 92, 707, 233, 566, 141, 141
00609, 109, 695, 227, 577, 118, 118
00610, 109, 695, 227, 577, 118, 118
00611, 109, 695, 227, 577, 118, 118
00612, 92, 707, 233, 566, 141, 141
00613, 92, 707, 233, 566, 141, 141
00614, 92, 707, 233, 566, 141, 141
00615, 92, 707, 233, 566, 141, 141
00616, 92, 707, 233, 566, 141, 141
00617, 92, 707, 233, 566, 141, 141
00618, 92, 707, 233, 566, 141, 141
00619, 92, 707, 233, 566, 141, 141
00620, 77, 707, 219, 566, 142, 141
00621, 77, 707, 219, 566, 142, 141
00622, 92, 707, 233, 566, 141, 141
00623, 92, 707, 233, 566, 141, 141
00624, 92, 707, 233, 566, 141, 141
00625, 77, 707, 219, 566, 142, 141
00626, 77, 707, 219, 566, 142, 141
00627, 77, 707, 219, 566, 142, 141
00628, 77, 707, 219, 566, 142, 141
00629, 109, 707, 227, 589, 118, 118
00630, 109, 707, 227, 589, 118, 118
00631, 97, 695, 215, 577, 118, 118
00632, 97, 695, 215, 577, 118, 118
00633, 97, 695, 215, 577, 118, 118
00634, 97, 695, 215, 577, 118, 118
00635, 97, 695, 215, 577, 118, 118
00636, 77, 707, 219, 566, 142, 141
00637, 77, 707, 219, 566, 142, 141
00638, 77, 707, 219, 566, 142, 141
00639, 109, 695, 227, 577, 118, 118
00640, 97, 683, 215, 565, 118, 118
00641, 109, 695, 227, 577, 118, 118
00642, 92, 693, 233, 552, 141, 141
00643, 77, 693, 219, 552, 142, 141
00644, 97, 683, 215, 565, 118, 118
00645, 77, 693, 219, 552, 142, 141
00646, 77, 693, 219, 552, 142, 141
00647, 77, 693, 219, 552, 142, 141
00648, 77, 693, 219, 552, 142, 141
00649, 92, 693, 233, 552, 141, 141
00650, 92, 693, 233, 552, 141, 141
00651, 92, 693, 233, 552, 141, 141
00652, 92, 693, 233, 552, 141, 141
00653, 92, 693, 233, 552, 141, 141
00654, 77, 693, 219, 552, 142, 141
00655, 77, 693, 219, 552, 142, 141
00656, 77, 693, 219, 552, 142, 141
00657, 77, 679, 219, 537, 142, 142
00658, 77, 693, 219, 552, 142, 141
00659, 77, 693, 219, 552, 142, 141
00660, 77, 693, 219, 552, 142, 141
00661, 77, 693, 219, 552, 142, 141
00662, 77, 693, 219, 552, 142, 141
00663, 77, 693, 219, 552, 142, 141
00664, 77, 693, 219, 552, 142, 141
00665, 77, 693, 219, 552, 142, 141
00666, 77, 693, 219, 552, 142, 141
00667, 77, 693, 219, 552, 142, 141
00668, 77, 693, 219, 552, 142, 141
00669, 77, 693, 219, 552, 142, 141
00670, 77, 693, 219, 552, 142, 141
00671, 77, 693, 219, 552, 142, 141
00672, 77, 693, 219, 552, 142, 141
00673, 109, 683, 227, 565, 118, 118
00674, 77, 693, 219, 552, 142, 141
00675, 77, 693, 219, 552, 142, 141
00676, 77, 693, 219, 552, 142, 141
00677, 77, 693, 219, 552, 142, 141
00678, 77, 693, 219, 552, 142, 141
00679, 77, 693, 219, 552, 142, 141
00680, 77, 693, 219, 552, 142, 141
00681, 77, 693, 219, 552, 142, 141
00682, 77, 693, 219, 552, 142, 141
00683, 77, 693, 219, 552, 142, 141
00684, 77, 693, 219, 552, 142, 141
00685, 92, 693, 233, 552, 141, 141
00686, 92, 693, 233, 552, 141, 141
00687, 97, 683, 215, 565, 118, 118
00688, 97, 683, 215, 565, 118, 118
00689, 97, 683, 215, 565, 118, 118
00690, 97, 683, 215, 565, 118, 118
00691, 97, 683, 215, 565, 118, 118
00692, 97, 683, 215, 565, 118, 118
00693, 97, 683, 215, 565, 118, 118
00694, 97, 683, 215, 565, 118, 118
00695, 97, 683, 215, 565, 118, 118
00696, 109, 695, 227, 577, 118, 118
00697, 92, 693, 233, 552, 141, 141
00698, 92, 693, 233, 552, 141, 141
00699, 92, 693, 233, 552, 141, 141
00700, 92, 693, 233, 552, 141, 141
00701, 92, 693, 233, 552, 141, 141
00702, 92, 693, 233, 552, 141, 141
00703, 92, 693, 233, 552, 141, 141
00704, 92, 693, 233, 552, 141, 141
00705, 92, 693, 233, 552, 141, 141
00706, 92, 693, 233, 552, 141, 141
00707, 92, 693, 233, 552, 141, 141
00708, 92, 693, 233, 552, 141, 141
00709, 92, 693, 233, 552, 141, 141
00710, 97, 671, 215, 553, 118, 118
00711, 109, 671, 227, 553, 118, 118
00712, 121, 683, 239, 565, 118, 118
00713, 92, 679, 233, 537, 141, 142
